run_id,pooling_mode,classifier_mode,num_scalar_factors,vector_latent_dim,total_latent_dim,num_epochs,seed,model_name,final_test_micro_f1,final_test_macro_f1,emotion_in_scalar_r2,emotion_leakage_vector_r2,emotion_leakage_residual_r2,emotion_meaning_separation_r2,emotion_meaning_separation_pearson,branch_mig,emotion_branch_importance_share,meaning_branch_emotion_leakage_share,diagonal_dominance,factor_dci_completeness
pool-joint_scalar-28_vector-64_total-92_seed-42,joint_scalar_vector,per_emotion_mlp,28,64,92,10,42,google/flan-t5-base,0.5855801067639705,0.5184745173636194,0.15642550228563695,0.05040875326190851,-0.0010784320536119582,0.10601674902372844,0.16858245871346306,0.2641625211789002,0.7101422135160071,0.2898577864839928,0.21241397772659232,0.1883390755642083
pool-joint_scalar-28_vector-128_total-156_seed-42,joint_scalar_vector,per_emotion_mlp,28,128,156,10,42,google/flan-t5-base,0.5876103752759382,0.5106119962822879,0.15610213884612298,0.08304252152113888,-0.0010784320536119582,0.0730596173249841,0.09792417557619543,0.2758477058148386,0.31481140292906545,0.6851885970709345,0.21290433916008844,0.18979205616503944
pool-joint_scalar-28_vector-256_total-284_seed-42,joint_scalar_vector,per_emotion_mlp,28,256,284,10,42,google/flan-t5-base,0.5781071067699562,0.5174395479118048,0.1553449773682225,0.13330119436635518,-0.0010784320536119582,0.022043783001867323,0.019036526851243907,0.24624120017651738,0.2756101585514642,0.7243898414485359,0.21349985331324567,0.18685404486645535
pool-joint_scalar-56_vector-64_total-120_seed-42,joint_scalar_vector,per_emotion_mlp,56,64,120,10,42,google/flan-t5-base,0.5895796490273432,0.516009517300132,0.15783534126787685,0.04696623583235204,-0.0010784320536119582,0.1108691054355248,0.17151950053923484,0.2668296030525503,0.7529608468564113,0.2470391531435889,,0.11920860434567407
pool-joint_scalar-56_vector-128_total-184_seed-42,joint_scalar_vector,per_emotion_mlp,56,128,184,10,42,google/flan-t5-base,0.5866232532899199,0.5147305776239233,0.15743436351120596,0.08282397100182749,-0.0010784320536119582,0.07461039250937847,0.0956174542662026,0.25745409075817344,0.4245275110915056,0.5754724889084943,,0.12033587707734408
pool-joint_scalar-56_vector-256_total-312_seed-42,joint_scalar_vector,per_emotion_mlp,56,256,312,10,42,google/flan-t5-base,0.5809361120601299,0.5138739305838667,0.1632179343846765,0.1344447914246696,-0.0010784320536119582,0.02877314296000688,0.01825089314046574,0.25754041038015013,0.3459479591393881,0.654052040860612,,0.12035464923201648
pool-peremotion_scalar-28_vector-64_total-92_seed-42,per_scalar_dim,per_emotion_mlp,28,64,92,10,42,google/flan-t5-base,0.5850421394916716,0.5088601172313424,0.1337110963159275,0.04489653764337206,-0.0010784320536119582,0.08881455867255544,0.14914423186841205,0.21313341873147285,0.7371667055899546,0.2628332944100454,0.19314973188830295,0.1608868988452764
pool-peremotion_scalar-28_vector-128_total-156_seed-42,per_scalar_dim,per_emotion_mlp,28,128,156,10,42,google/flan-t5-base,0.584995513838084,0.511870223435161,0.13241264691613996,0.07989222299016292,-0.0010784320536119582,0.05252042392597704,0.07182712574941486,0.2097722472315009,0.3136457032365025,0.6863542967634975,0.19835158961896018,0.1680659950401256
pool-peremotion_scalar-28_vector-256_total-284_seed-42,per_scalar_dim,per_emotion_mlp,28,256,284,10,42,google/flan-t5-base,0.5795500471507476,0.5070926043153896,0.12617980608038434,0.1282573868016929,-0.0010784320536119582,-0.002077580721308564,-0.014225034785103452,0.1911281527421917,0.26397047868798895,0.7360295213120108,0.1947218855901126,0.15773102491043078
pool-peremotion_scalar-56_vector-64_total-120_seed-42,per_scalar_dim,per_emotion_mlp,56,64,120,10,42,google/flan-t5-base,0.5867460908413998,0.5130313951027269,0.140231131530145,0.04542131873383108,-0.0010784320536119582,0.09480981279631391,0.15388621193817814,0.19395494364046276,0.7366603550835988,0.26333964491640105,,0.09718611103138682
pool-peremotion_scalar-56_vector-128_total-184_seed-42,per_scalar_dim,per_emotion_mlp,56,128,184,10,42,google/flan-t5-base,0.5843517534537725,0.5046122096411627,0.1424740677657139,0.07943047920599507,-0.0010784320536119582,0.06304358855971882,0.0814600804564789,0.22791563867598755,0.4717091866211113,0.5282908133788888,,0.10623587643205
pool-peremotion_scalar-56_vector-256_total-312_seed-42,per_scalar_dim,per_emotion_mlp,56,256,312,10,42,google/flan-t5-base,0.5870164816683485,0.5108249769174611,0.1444697350661271,0.12435268936219908,-0.0010784320536119582,0.020117045703928013,0.004690265514382175,0.2170650083637051,0.3583831958227815,0.6416168041772186,,0.10859304318440877
