run_id,pooling_mode,classifier_mode,classifier_parameterization,joint_mlp_hidden_dim,num_scalar_factors,vector_latent_dim,total_latent_dim,num_epochs,seed,model_name,final_test_micro_f1,final_test_macro_f1,emotion_in_scalar_r2,emotion_leakage_vector_r2,emotion_leakage_residual_r2,emotion_meaning_separation_r2,emotion_meaning_separation_pearson,branch_mig,emotion_branch_importance_share,meaning_branch_emotion_leakage_share,diagonal_dominance,factor_dci_completeness
pool-joint_scalar-56_vector-64_total-120_classifier-joint-mlp-standard-h128_seed-42,joint_scalar_vector,joint_mlp,standard,128,56,64,120,10,42,google/flan-t5-base,0.5693926478423016,0.4928319268921015,0.1411810440883147,0.04564349453235399,-0.0010784320536119582,0.09553754955596071,0.14559463423783744,0.0903340302372352,0.8986067645068622,0.10139323549313782,,0.07169798709720773
pool-joint_scalar-56_vector-128_total-184_classifier-joint-mlp-standard-h128_seed-42,joint_scalar_vector,joint_mlp,standard,128,56,128,184,10,42,google/flan-t5-base,0.5736824209452567,0.5075211926351071,0.13405888765381,0.06723279592933055,-0.0010784320536119582,0.06682609172447944,0.08120076956302757,0.07296595931482051,0.8444546117581697,0.15554538824183042,,0.07028221961179272
pool-peremotion_scalar-56_vector-64_total-120_classifier-joint-mlp-standard-h128_seed-42,per_scalar_dim,joint_mlp,standard,128,56,64,120,10,42,google/flan-t5-base,0.5745341614906833,0.4965531273586167,0.13694558504097626,0.04907454750406006,-0.0010784320536119582,0.08787103753691619,0.136595659078991,0.10870269525264499,0.8549143044282288,0.1450856955717714,,0.07562273120516441
pool-peremotion_scalar-56_vector-128_total-184_classifier-joint-mlp-standard-h128_seed-42,per_scalar_dim,joint_mlp,standard,128,56,128,184,10,42,google/flan-t5-base,0.5675941080196399,0.49079521069641296,0.1392197772816314,0.07738324349990336,-0.0010784320536119582,0.06183653378172804,0.07501091157856243,0.10594944664302265,0.7834104209557676,0.21658957904423237,,0.07240976906082977
